Name,Type,Label,Description
b01-f02-r007,MQTT-ThermalSensor,Room 7 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r008,MQTT-ThermalSensor,Room 8 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r009,MQTT-ThermalSensor,Room 9 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r010,MQTT-ThermalSensor,Room 10 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r011,CoAP-ThermalSensor,Room 11 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r012,CoAP-ThermalSensor,Room 12 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r013,CoAP-ThermalSensor,Room 13 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r014,CoAP-ThermalSensor,Room 14 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r015,CoAP-ThermalSensor,Room 15 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r016,CoAP-ThermalSensor,Room 16 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r017,CoAP-ThermalSensor,Room 17 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r018,CoAP-ThermalSensor,Room 18 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r019,CoAP-ThermalSensor,Room 19 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f02-r020,CoAP-ThermalSensor,Room 20 on Floor 2,Autogenerated CoAP-ThermalSensor node
b01-f03-r001,MQTT-ThermalSensor,Room 1 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r002,MQTT-ThermalSensor,Room 2 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r003,MQTT-ThermalSensor,Room 3 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r004,MQTT-ThermalSensor,Room 4 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r005,MQTT-ThermalSensor,Room 5 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r006,MQTT-ThermalSensor,Room 6 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r007,MQTT-ThermalSensor,Room 7 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r008,MQTT-ThermalSensor,Room 8 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r009,MQTT-ThermalSensor,Room 9 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r010,MQTT-ThermalSensor,Room 10 on Floor 3,Autogenerated MQTT-ThermalSensor node
b01-f03-r011,CoAP-ThermalSensor,Room 11 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r012,CoAP-ThermalSensor,Room 12 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r013,CoAP-ThermalSensor,Room 13 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r014,CoAP-ThermalSensor,Room 14 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r015,CoAP-ThermalSensor,Room 15 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r016,CoAP-ThermalSensor,Room 16 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r017,CoAP-ThermalSensor,Room 17 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r018,CoAP-ThermalSensor,Room 18 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r019,CoAP-ThermalSensor,Room 19 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f03-r020,CoAP-ThermalSensor,Room 20 on Floor 3,Autogenerated CoAP-ThermalSensor node
b01-f04-r001,MQTT-ThermalSensor,Room 1 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r002,MQTT-ThermalSensor,Room 2 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r003,MQTT-ThermalSensor,Room 3 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r004,MQTT-ThermalSensor,Room 4 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r005,MQTT-ThermalSensor,Room 5 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r006,MQTT-ThermalSensor,Room 6 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r007,MQTT-ThermalSensor,Room 7 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r008,MQTT-ThermalSensor,Room 8 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r009,MQTT-ThermalSensor,Room 9 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r010,MQTT-ThermalSensor,Room 10 on Floor 4,Autogenerated MQTT-ThermalSensor node
b01-f04-r011,CoAP-ThermalSensor,Room 11 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r012,CoAP-ThermalSensor,Room 12 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r013,CoAP-ThermalSensor,Room 13 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r014,CoAP-ThermalSensor,Room 14 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r015,CoAP-ThermalSensor,Room 15 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r016,CoAP-ThermalSensor,Room 16 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r017,CoAP-ThermalSensor,Room 17 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r018,CoAP-ThermalSensor,Room 18 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r019,CoAP-ThermalSensor,Room 19 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f04-r020,CoAP-ThermalSensor,Room 20 on Floor 4,Autogenerated CoAP-ThermalSensor node
b01-f05-r001,MQTT-ThermalSensor,Room 1 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r002,MQTT-ThermalSensor,Room 2 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r003,MQTT-ThermalSensor,Room 3 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r004,MQTT-ThermalSensor,Room 4 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r005,MQTT-ThermalSensor,Room 5 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r006,MQTT-ThermalSensor,Room 6 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r007,MQTT-ThermalSensor,Room 7 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r008,MQTT-ThermalSensor,Room 8 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r009,MQTT-ThermalSensor,Room 9 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r010,MQTT-ThermalSensor,Room 10 on Floor 5,Autogenerated MQTT-ThermalSensor node
b01-f05-r011,CoAP-ThermalSensor,Room 11 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r012,CoAP-ThermalSensor,Room 12 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r013,CoAP-ThermalSensor,Room 13 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r014,CoAP-ThermalSensor,Room 14 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r015,CoAP-ThermalSensor,Room 15 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r016,CoAP-ThermalSensor,Room 16 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r017,CoAP-ThermalSensor,Room 17 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r018,CoAP-ThermalSensor,Room 18 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r019,CoAP-ThermalSensor,Room 19 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f05-r020,CoAP-ThermalSensor,Room 20 on Floor 5,Autogenerated CoAP-ThermalSensor node
b01-f06-r001,MQTT-ThermalSensor,Room 1 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r002,MQTT-ThermalSensor,Room 2 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r003,MQTT-ThermalSensor,Room 3 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r004,MQTT-ThermalSensor,Room 4 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r005,MQTT-ThermalSensor,Room 5 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r006,MQTT-ThermalSensor,Room 6 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r007,MQTT-ThermalSensor,Room 7 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r008,MQTT-ThermalSensor,Room 8 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r009,MQTT-ThermalSensor,Room 9 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r010,MQTT-ThermalSensor,Room 10 on Floor 6,Autogenerated MQTT-ThermalSensor node
b01-f06-r011,CoAP-ThermalSensor,Room 11 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r012,CoAP-ThermalSensor,Room 12 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r013,CoAP-ThermalSensor,Room 13 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r014,CoAP-ThermalSensor,Room 14 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r015,CoAP-ThermalSensor,Room 15 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r016,CoAP-ThermalSensor,Room 16 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r017,CoAP-ThermalSensor,Room 17 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r018,CoAP-ThermalSensor,Room 18 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r019,CoAP-ThermalSensor,Room 19 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f06-r020,CoAP-ThermalSensor,Room 20 on Floor 6,Autogenerated CoAP-ThermalSensor node
b01-f07-r001,MQTT-ThermalSensor,Room 1 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r002,MQTT-ThermalSensor,Room 2 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r003,MQTT-ThermalSensor,Room 3 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r004,MQTT-ThermalSensor,Room 4 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r005,MQTT-ThermalSensor,Room 5 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r006,MQTT-ThermalSensor,Room 6 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r007,MQTT-ThermalSensor,Room 7 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r008,MQTT-ThermalSensor,Room 8 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r009,MQTT-ThermalSensor,Room 9 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r010,MQTT-ThermalSensor,Room 10 on Floor 7,Autogenerated MQTT-ThermalSensor node
b01-f07-r011,CoAP-ThermalSensor,Room 11 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r012,CoAP-ThermalSensor,Room 12 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r013,CoAP-ThermalSensor,Room 13 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r014,CoAP-ThermalSensor,Room 14 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r015,CoAP-ThermalSensor,Room 15 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r016,CoAP-ThermalSensor,Room 16 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r017,CoAP-ThermalSensor,Room 17 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r018,CoAP-ThermalSensor,Room 18 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r019,CoAP-ThermalSensor,Room 19 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f07-r020,CoAP-ThermalSensor,Room 20 on Floor 7,Autogenerated CoAP-ThermalSensor node
b01-f08-r001,MQTT-ThermalSensor,Room 1 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r002,MQTT-ThermalSensor,Room 2 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r003,MQTT-ThermalSensor,Room 3 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r004,MQTT-ThermalSensor,Room 4 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r005,MQTT-ThermalSensor,Room 5 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r006,MQTT-ThermalSensor,Room 6 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r007,MQTT-ThermalSensor,Room 7 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r008,MQTT-ThermalSensor,Room 8 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r009,MQTT-ThermalSensor,Room 9 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r010,MQTT-ThermalSensor,Room 10 on Floor 8,Autogenerated MQTT-ThermalSensor node
b01-f08-r011,CoAP-ThermalSensor,Room 11 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r012,CoAP-ThermalSensor,Room 12 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r013,CoAP-ThermalSensor,Room 13 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r014,CoAP-ThermalSensor,Room 14 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r015,CoAP-ThermalSensor,Room 15 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r016,CoAP-ThermalSensor,Room 16 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r017,CoAP-ThermalSensor,Room 17 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r018,CoAP-ThermalSensor,Room 18 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r019,CoAP-ThermalSensor,Room 19 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f08-r020,CoAP-ThermalSensor,Room 20 on Floor 8,Autogenerated CoAP-ThermalSensor node
b01-f09-r001,MQTT-ThermalSensor,Room 1 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r002,MQTT-ThermalSensor,Room 2 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r003,MQTT-ThermalSensor,Room 3 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r004,MQTT-ThermalSensor,Room 4 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r005,MQTT-ThermalSensor,Room 5 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r006,MQTT-ThermalSensor,Room 6 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r007,MQTT-ThermalSensor,Room 7 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r008,MQTT-ThermalSensor,Room 8 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r009,MQTT-ThermalSensor,Room 9 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r010,MQTT-ThermalSensor,Room 10 on Floor 9,Autogenerated MQTT-ThermalSensor node
b01-f09-r011,CoAP-ThermalSensor,Room 11 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r012,CoAP-ThermalSensor,Room 12 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r013,CoAP-ThermalSensor,Room 13 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r014,CoAP-ThermalSensor,Room 14 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r015,CoAP-ThermalSensor,Room 15 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r016,CoAP-ThermalSensor,Room 16 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r017,CoAP-ThermalSensor,Room 17 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r018,CoAP-ThermalSensor,Room 18 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r019,CoAP-ThermalSensor,Room 19 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f09-r020,CoAP-ThermalSensor,Room 20 on Floor 9,Autogenerated CoAP-ThermalSensor node
b01-f10-r001,MQTT-ThermalSensor,Room 1 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r002,MQTT-ThermalSensor,Room 2 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r003,MQTT-ThermalSensor,Room 3 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r004,MQTT-ThermalSensor,Room 4 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r005,MQTT-ThermalSensor,Room 5 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r006,MQTT-ThermalSensor,Room 6 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r007,MQTT-ThermalSensor,Room 7 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r008,MQTT-ThermalSensor,Room 8 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r009,MQTT-ThermalSensor,Room 9 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r010,MQTT-ThermalSensor,Room 10 on Floor 10,Autogenerated MQTT-ThermalSensor node
b01-f10-r011,CoAP-ThermalSensor,Room 11 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r012,CoAP-ThermalSensor,Room 12 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r013,CoAP-ThermalSensor,Room 13 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r014,CoAP-ThermalSensor,Room 14 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r015,CoAP-ThermalSensor,Room 15 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r016,CoAP-ThermalSensor,Room 16 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r017,CoAP-ThermalSensor,Room 17 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r018,CoAP-ThermalSensor,Room 18 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r019,CoAP-ThermalSensor,Room 19 on Floor 10,Autogenerated CoAP-ThermalSensor node
b01-f10-r020,CoAP-ThermalSensor,Room 20 on Floor 10,Autogenerated CoAP-ThermalSensor node
